127.0.0.1 - - [08/May/2018:16:14:58 +0900] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:04 +0900] "GET /DBProject2017/UI/mainUI.jsp HTTP/1.1" 200 5023
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/cssfile/jquery.mobile.icons.min.css HTTP/1.1" 200 127053
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/cssfile/font.css HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/mountain.html HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/cssfile/main.min.css HTTP/1.1" 200 11146
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/stt/stt.js HTTP/1.1" 200 2180
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/slider.html HTTP/1.1" 200 6677
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/files/ex7.PNG HTTP/1.1" 200 174813
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/files/ex1.jpg HTTP/1.1" 200 70310
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/files/ex3.jpg HTTP/1.1" 200 101941
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/files/ex2.jpg HTTP/1.1" 200 100082
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/files/ex4.jpg HTTP/1.1" 200 81443
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/script/iscroll.js HTTP/1.1" 200 34303
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/cssfile/slider.css HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/files/ex5.jpg HTTP/1.1" 200 88444
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /DBProject2017/UI/files/ex6.jpg HTTP/1.1" 200 115929
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:10 +0900] "GET /DBProject2017/UI/mainUI.jsp HTTP/1.1" 200 5023
0:0:0:0:0:0:0:1 - - [08/May/2018:16:15:20 +0900] "GET /DBProject2017/UI/mainUI.jsp HTTP/1.1" 200 5023
